mol_id,title,num_confs,has_sites,b_lp_Chiralities_Consistent,i_epik_Tot_Q,i_epik_Tot_abs_Q,i_f3d_flags,i_lp_mmshare_version,i_m_ct_format,i_m_source_file_index,i_mol_phasedb_index,r_epik_Charging_Adjusted_Penalty,r_epik_Ionization_Penalty,r_epik_Ionization_Penalty_Charging,r_epik_Ionization_Penalty_Neutral,r_epik_State_Penalty,r_f3d_energy,r_f3d_relative_energy,r_lp_Energy,r_lp_tautomer_probability,s_epik_Chemistry_Notes,s_epik_cmdline,s_epik_input,s_lp_Force_Field,s_lp_Variant,s_lp_label,s_m_source_file,s_phase_Unique_SMILES,s_phase_variant,s_st_Chirality_1,s_st_Chirality_2,s_st_Chirality_3,s_st_Chirality_4,s_st_Chirality_5,s_st_Chirality_6,s_st_EZ_1
20026,Z1139567869,10,1,1,1,1,0,57141,2,17,20026,0.0566021216433656,0.0595,0.0566,0.0029,-0,55.82856,0,9.369173,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMVtjSF1ubihbY0hdMSlbQ0gyXVtDSDJdW05IXVtDSDJdYzJbY0hdW2NIXVtjSF1bY0hdYzJPW0NIMl1jM1tjSF1bY0hdW2NIXVtjSF1uMw==,OPLS_2005,Z1139567869-1,17_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-005-in.maegz,Cc1cnn(c1)CC[NH2+]Cc2c(cccc2)OCc3ccccn3,Z1139567869-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20027,Z1265561259,10,1,1,0,0,0,57141,2,18,20027,0,0,0,0,-0,34.1687,0,50.089733,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMVtjSF1uYyhbY0hdbjEpQyg9TylOMltDSDJdW0NIMl1bQ0BASF0oW0NIMl0yKVtDSDJdT1tDSDJdYzNbY0hdW2NIXVtjSF1bY0hdW2NIXTM=,OPLS_2005,Z1265561259-1,18_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-005-in.maegz,n1cc(C)ncc1C(=O)N(C2)CC[C@@H]2COCc3ccccc3,Z1265561259-1,11_S_12_21_10_32,NULL,NULL,NULL,NULL,NULL,NULL
20028,Z1626912080,10,1,1,0,0,0,57141,2,19,20028,0,0,0,0,-0,62.62381,0,25.901182,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMW5vYyhuMSlbQ0gyXU9bQ0gyXUMoPU8pTjJbQ0gyXVtDSDJdW0NIMl1bQ0gyXVtDSDJdW0NAQEhdMmMzbm9jKG4zKS1jNFtjSF1bY0hdW2NIXVtjSF1bY0hdNA==,OPLS_2005,Z1626912080-2,19_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_2,phasedb_3-LIGPREP-005-in.maegz,o1nc(C)nc1COCC(=O)N2CCCCC[C@H]2c(no3)nc3-c4ccccc4,Z1626912080-1,17_S_11_18_16_47,NULL,NULL,NULL,NULL,NULL,NULL
20029,Z1139482177,10,1,1,0,0,0,57141,2,20,20029,0.08265916585657949,0.0828,0,0.0828,0.0827,64.27028,0,29.346295,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMVtjSF1ubihbY0hdMSlbQ0gyXVtDQEhdMltDSDJdW0NIMl1bQ0gyXU4yW0NASF0oW0NIM10pYzNuYyhubzMpW0NIXTRbQ0gyXVtDSDJdNA==,OPLS_2005,Z1139482177-1,20_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-005-in.maegz,C1CC1c(no2)nc2[C@@H](C)N3CCC[C@@H]3Cn(c4)ncc4C,Z1139482177-1,7_R_11_6_8_29,12_R_11_14_13_36,NULL,NULL,NULL,NULL,NULL
20030,Z1139482177,10,1,1,1,1,0,57141,2,20,20030,2.41561959907153,1.2078,1.2078,0,1.2078,63.71312,0,26.099051,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMVtjSF1ubihbY0hdMSlbQ0gyXVtDQEhdMltDSDJdW0NIMl1bQ0gyXU4yW0NASF0oW0NIM10pYzNuYyhubzMpW0NIXTRbQ0gyXVtDSDJdNA==,OPLS_2005,Z1139482177-8,20_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_4,phasedb_3-LIGPREP-005-in.maegz,C1CC1c(no2)nc2[C@@H](C)[N@@H+]3CCC[C@H]3Cn(c4)ncc4C,Z1139482177-2,7_S_11_6_8_29,11_R_12_7_10_46,12_R_11_14_13_36,NULL,NULL,NULL,NULL
20031,Z1591485692,10,1,1,0,0,0,57141,2,21,20031,0.00936458662033394,0.0094,0,0.0094,0.0094,63.9177,0,32.993796,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bQ0gyXWMxW2NIXVtjSF1zYzFDKD1PKU4yW0NIMl1bQ0gyXVtDSF0oW0NIMl1bQ0gyXTIpYzNbY0hdW2NIXW5uM1tDSDJdW0NIMl1bT0hd,OPLS_2005,Z1591485692-1,21_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-005-in.maegz,s1ccc(CC)c1C(=O)N(CC2)CCC2c3ccnn3CCO,Z1591485692-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20032,Z1743820948,10,1,1,1,3,0,57141,2,22,20032,0.557968785420706,0.279,0.279,0,0.279,1060.43105,0,49.789686,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,Tz1bTitdKFtPLV0pYzFbY0hdYyhDbClbY0hdbmMxTjJbQ0gyXVtDSDJdW0NIMl1bQ0BASF0yW0NIMl1OM1tDSDJdW0NIMl1PW0NIMl1bQ0gyXTM=,OPLS_2005,Z1743820948-1,22_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-005-in.maegz,C1COCC[NH+]1C[C@H]2CCCN2c(c3[N+]([O-])=O)ncc(Cl)c3,Z1743820948-1,15_R_11_16_14_31,NULL,NULL,NULL,NULL,NULL,NULL
20033,Z1743820948,10,1,1,0,2,0,57141,2,22,20033,0.580271808526696,0.5803,0,0.5803,0.5803,48.83119000000001,0,57.627131,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,Tz1bTitdKFtPLV0pYzFbY0hdYyhDbClbY0hdbmMxTjJbQ0gyXVtDSDJdW0NIMl1bQ0BASF0yW0NIMl1OM1tDSDJdW0NIMl1PW0NIMl1bQ0gyXTM=,OPLS_2005,Z1743820948-3,22_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_1,phasedb_3-LIGPREP-005-in.maegz,C1COCCN1C[C@H]2CCCN2c(c3[N+]([O-])=O)ncc(Cl)c3,Z1743820948-2,15_R_11_16_14_31,NULL,NULL,NULL,NULL,NULL,NULL
20034,Z1663272031,10,1,1,0,0,0,57141,2,23,20034,0,0.0018,0,0.0018,-0,31.02164,0,14.83778,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W05IMl1DKD1PKVtDSDJdYzFbY0hdW2NIXWMoW2NIXVtjSF0xKVtOSF1bQ0BASF0oYzJbY0hdW2NIXWMoRilbY0hdbjIpYzNbY0hdW2NIXVtjSF1bY0hdW2NIXTM=,OPLS_2005,Z1663272031-2,23_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_2,phasedb_3-LIGPREP-005-in.maegz,NC(=O)Cc1ccc(cc1)N[C@H](c2ccc(F)cn2)c3ccccc3,Z1663272031-1,10_S_9_17_11_33,NULL,NULL,NULL,NULL,NULL,NULL
20035,Z1734454169,10,1,1,0,0,0,57141,2,24,20035,0.00136611012964334,0.0015,0.0014,0.0001,-0,40.60759,0,45.813541,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W2NIXTFbY0hdW2NIXWMoW0NIM10pYyhjMTIpbltjSF1jKGMyW09IXSlDKD1PKU4zW0NIMl1bQ0gyXVtDSDJdW0NAQEhdKFtDSDJdMyluNFtjSF1bY0hdW2NIXW40,OPLS_2005,Z1734454169-1,24_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-005-in.maegz,c1ccc(C)c(c12)[nH]cc(c2=O)C(=O)N(C3)CCC[C@@H]3n4cccn4,Z1734454169-1,16_S_17_22_15_38,NULL,NULL,NULL,NULL,NULL,NULL
20036,Z1751201902,10,1,1,0,0,0,57141,2,25,20036,0,0.0008,0,0.0008,-0,22.93365000000001,0,54.593162,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bQ0gyXWMxbm4oW0NIM10pW2NIXWMxW05IXUMoPU8pTihbQ0gyXVtDSDJdMilbQ0BASF0oW0NAQEhdMjMpW0NIMl1bQ0gyXVtDSDJdMw==,OPLS_2005,Z1751201902-1,25_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-005-in.maegz,C1CC[C@H]([C@H]12)N(CC2)C(=O)Nc(c3CC)cn(n3)C,Z1751201902-1,15_R_19_14_16_34,19_R_12_15_18_41,NULL,NULL,NULL,NULL,NULL
