mol_id,title,num_confs,has_sites,b_lp_Chiralities_Consistent,i_epik_Tot_Q,i_epik_Tot_abs_Q,i_f3d_flags,i_lp_mmshare_version,i_m_ct_format,i_m_source_file_index,i_mol_phasedb_index,r_epik_Charging_Adjusted_Penalty,r_epik_Ionization_Penalty,r_epik_Ionization_Penalty_Charging,r_epik_Ionization_Penalty_Neutral,r_epik_State_Penalty,r_f3d_energy,r_f3d_relative_energy,r_lp_Energy,r_lp_tautomer_probability,s_epik_Chemistry_Notes,s_epik_cmdline,s_epik_input,s_lp_Force_Field,s_lp_Variant,s_lp_label,s_m_source_file,s_phase_Unique_SMILES,s_phase_variant,s_st_Chirality_1,s_st_Chirality_2,s_st_Chirality_3,s_st_Chirality_4,s_st_Chirality_5,s_st_Chirality_6,s_st_EZ_1
1,RO5045337,10,1,1,0,0,0,57141,2,1,1,0.0897474861427483,0.09810000000000001,0,0.09810000000000001,0.0897,5201.27706,0,90.815392,NULL,This compound has an imine and may undergo hydrolysis.,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bQ0gyXU9jMVtjSF1jKEMoW0NIM10pKFtDSDNdKVtDSDNdKVtjSF1bY0hdYzFDKD1OMilOKFtDQF0oW0NIM10pKGMzW2NIXVtjSF1jKENsKVtjSF1bY0hdMylbQ0BdMihbQ0gzXSljNFtjSF1bY0hdYyhDbClbY0hdW2NIXTQpQyg9TylONVtDSDJdW0NIMl1OKFtDSDJdW0NIMl01KVtDSDJdW0NIMl1bQ0gyXVMoPU8pKD1PKVtDSDNd,OPLS_2005,RO5045337-1,1_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,c1cc(Cl)ccc1[C@@]2(C)[C@@](C)(c3ccc(Cl)cc3)N(C(=N2)c(cc4)c(OCC)cc4C(C)(C)C)C(=O)N5CCN(CC5)CCCS(=O)(=O)C,RO5045337-1,2_S_49_10_3_1,10_R_19_2_12_11,NULL,NULL,NULL,NULL,NULL
2,RO5045337,10,1,1,1,1,0,57141,2,1,2,2.32504339191763,1.1653,1.1625,0.0028,1.1625,1482.73792,0,97.442903,NULL,This compound has an imine and may undergo hydrolysis.,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bQ0gyXU9jMVtjSF1jKEMoW0NIM10pKFtDSDNdKVtDSDNdKVtjSF1bY0hdYzFDKD1OMilOKFtDQF0oW0NIM10pKGMzW2NIXVtjSF1jKENsKVtjSF1bY0hdMylbQ0BdMihbQ0gzXSljNFtjSF1bY0hdYyhDbClbY0hdW2NIXTQpQyg9TylONVtDSDJdW0NIMl1OKFtDSDJdW0NIMl01KVtDSDJdW0NIMl1bQ0gyXVMoPU8pKD1PKVtDSDNd,OPLS_2005,RO5045337-2,1_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,c1cc(Cl)ccc1[C@@]2(C)[C@@](C)(c3ccc(Cl)cc3)N(C(=N2)c(cc4)c(OCC)cc4C(C)(C)C)C(=O)N5CC[NH+](CC5)CCCS(=O)(=O)C,RO5045337-2,2_S_49_10_3_1,10_R_19_2_12_11,NULL,NULL,NULL,NULL,NULL
3,Z1663153415,10,1,1,0,0,0,57141,2,2,3,0,0,0,0,-0,32.07331,0,25.168911,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMW5vYyhuMSlbQ0BIXTJbQ0gyXU9bQ0gyXVtDSDJdTjJDKD1PKWMzW2NIXXNbY0hdYzNbQ0gzXQ==,OPLS_2005,Z1663153415-2,2_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,c1scc(C)c1C(=O)N2CCOC[C@H]2c(on3)nc3C,Z1663153415-1,6_S_11_5_7_24,NULL,NULL,NULL,NULL,NULL,NULL
4,Z1650851736,10,1,1,0,0,0,57141,2,3,4,0,0,0,0,-0,72.84633000000001,0,30.62337,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11PYzFbY0hdW2NIXVtjSF1jKFtjSF0xKVtDSDJdTihbQ0gzXSlDKD1PKWMyW2NIXVtjSF1bY0hdW2NIXWMyLW4zW2NIXVtjSF1ubjM=,OPLS_2005,Z1650851736-1,3_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,n1nccn1-c(cccc2)c2C(=O)N(C)Cc3cc(OC)ccc3,Z1650851736-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,Z1651182607,10,1,1,0,0,0,57141,2,4,5,0,0,0,0,-0,52.94047000000001,0,25.218467,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,RkMoRikoRilbQ0gyXU4oW0NIM10pQyg9TyljMVtjSF1bY0hdW2NIXVtjSF1jMS1uMltjSF1bY0hdbm4y,OPLS_2005,Z1651182607-1,4_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,FC(F)(F)CN(C)C(=O)c1c(cccc1)-n2ccnn2,Z1651182607-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,Z1638092160,10,1,1,1,1,0,57141,2,5,6,0.0274194140346641,0.0274,0.0011,0.0263,0.0263,70.01535000000003,0,18.695653,NULL,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bTkhdQyg9TyljMVtjSF1bY0hdW2NIXWMoW2NIXTEpW0NIMl1bQ0gyXVtOSF1bQ0hdMltDSDJdW0NIMl1OKFtDSDJdW0NIMl0yKWMzbltjSF1bY0hdczM=,OPLS_2005,Z1638092160-1,5_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,CNC(=O)c1cc(ccc1)CC[NH2+]C2CCN(CC2)c3nccs3,Z1638092160-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,Z1212004736,10,1,1,0,0,0,57141,2,6,7,0,0,0,0,-0,82.58803999999999,0,35.289604,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11PW0NIMl1bQ0gyXU9jMVtjSF1bY0hdW2NIXWMoW2NIXTEpQyg9TylOMltDSDJdW0NIMl1bQ0gyXVtDSDJdW0NAQEhdMmMzbltjSF1bY0hdczM=,OPLS_2005,Z1212004736-1,6_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,COCCOc(ccc1)cc1C(=O)N2CCCC[C@@H]2c3nccs3,Z1212004736-1,18_R_13_19_17_43,NULL,NULL,NULL,NULL,NULL,NULL
8,Z1633509877,10,1,1,0,0,0,57141,2,7,8,0.170727138102214,0.1715,0,0.1715,0.1707,39.20290000000001,0,59.708385,NULL,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W2NIXTFbY0hdW2NIXVtjSF1jKGMxMiluYyhOKFtDSDNdKVtDSDNdKVtjSF1jMkMoPU8pTihbQ0gyXTMpW0NIMl1bQ0BASF0oW0NASF0zNClOKFtDSDNdKVtDSDJdW0NIMl1PNA==,OPLS_2005,Z1633509877-4,7_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_4,phasedb_3-LIGPREP-001-in.maegz,CN1CCO[C@@H]([C@H]12)CN(C2)C(=O)c3cc(N(C)C)nc(c34)cccc4,Z1633509877-1,11_R_12_17_10_35,17_R_15_11_18_43,NULL,NULL,NULL,NULL,NULL
9,Z1633509877,10,1,1,1,1,0,57141,2,7,9,1.64104330904082,0.8207,0.8205,0.0002,0.8205,536.3271999999999,0,55.584747,NULL,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W2NIXTFbY0hdW2NIXVtjSF1jKGMxMiluYyhOKFtDSDNdKVtDSDNdKVtjSF1jMkMoPU8pTihbQ0gyXTMpW0NIMl1bQ0BASF0oW0NASF0zNClOKFtDSDNdKVtDSDJdW0NIMl1PNA==,OPLS_2005,Z1633509877-9,7_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_5,phasedb_3-LIGPREP-001-in.maegz,C[N@H+]1CCO[C@H]([C@H]12)CN(C2)C(=O)c3cc(N(C)C)nc(c34)cccc4,Z1633509877-2,11_S_12_17_10_35,15_S_17_14_16_50,17_R_15_11_18_43,NULL,NULL,NULL,NULL
10,Z1632262203,10,1,1,0,0,0,57141,2,8,10,0,0.0001,0,0.0001,-0,75.95509,0,40.294644,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMVtjSF1bY0hdW2NIXWMoYzFbQ0gzXSlbQ0BIXShbQ0gzXSlbTkhdQyg9TylbTkhdW0NIMl1bQ0BIXTJbQ0gyXUMoPU8pTihbQ0gyXTIpW0NIXTNbQ0gyXVtDSDJdMw==,OPLS_2005,Z1632262203-3,8_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_3,phasedb_3-LIGPREP-001-in.maegz,c1ccc(C)c(C)c1[C@H](C)NC(=O)NC[C@H](CC2=O)CN2C3CC3,Z1632262203-1,7_S_9_6_8_31,14_S_22_13_15_39,NULL,NULL,NULL,NULL,NULL
11,Z1359754626,10,1,1,0,0,0,57141,2,9,11,0,0,0,0,-0,22.04229,0,9.754903000000001,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMWMoRilbY0hdW2NIXVtjSF1jMVMoPU8pKD1PKU4yW0NIMl1bQ0gyXU9bQ0BASF0oW0NIMl0yKWMzW2NIXW5uKFtDSDNdKVtjSF0z,OPLS_2005,Z1359754626-1,9_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,Cc1c(F)cccc1S(=O)(=O)N(CCO2)C[C@H]2c3cnn(C)c3,Z1359754626-1,16_R_15_23_17_34,NULL,NULL,NULL,NULL,NULL,NULL
12,Z1139321012,10,1,1,0,0,0,57141,2,10,12,0,0,0,0,-0,28.053,0,39.168485,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W2NIXTFbY0hdbihbQ0gzXSljKGMxMilbY0hdW2NIXVtjSF1jMkMoPU8pTjNbQ0gyXVtDSDJdW0NIMl1bQ0BASF0zW0NIMl1uNFtjSF1bY0hdW2NIXW40,OPLS_2005,Z1139321012-2,10_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,c1cn(C)c(c12)cccc2C(=O)N3CCC[C@H]3Cn4cccn4,Z1139321012-1,13_S_9_14_12_35,NULL,NULL,NULL,NULL,NULL,NULL
13,Z1642887572,10,1,1,0,0,0,57141,2,11,13,2.43491689595027e-08,0.0004,0,0.0004,-0,18.86012999999999,0,24.921845,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11uMVtjSF1jKFtjSF1uMSlbQ0BAXTIoW0NIM10pW0NIMl1OKFtDSDJdW0NIMl1PMiljKG4zKWMoQyNOKW4oYzM0KVtjSF1bY0hdW2NIXVtjSF00,OPLS_2005,Z1642887572-1,11_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,c1cccn(c12)c(C#N)c(n2)N(CCO3)C[C@]3(C)c4cnn(C)c4,Z1642887572-1,5_S_22_7_4_6,NULL,NULL,NULL,NULL,NULL,NULL
14,Z1607844686,10,1,1,1,1,0,57141,2,12,14,0.0875243734832057,0.0438,0.0438,0,0.0438,60.11187999999999,0,28.989734,NULL,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMVtjSF1bY0hdYyhjKFtjSF0xKVtDSDJdTihbQ0gzXSlbQ0gzXSlbTkhdQyg9TylbQ0BAXTIoW0NIM10pW0NIMl1bQ0gyXVtDSDJdTzI=,OPLS_2005,Z1607844686-1,12_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,O1CCC[C@]1(C)C(=O)Nc(c2C[NH+](C)C)ccc(C)c2,Z1607844686-1,9_R_14_7_11_10,NULL,NULL,NULL,NULL,NULL,NULL
15,Z1663835023,10,1,1,1,1,0,57141,2,13,15,0.0206971063557983,0.0104,0.0103,0,0.0103,83.08165,0,42.385111,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11PYzFbY0hdYyhbY0hdYyhbY0hdMSlPW0NIM10pW0NIMl1OMltDSDJdW0NIMl1bQ0BASF0oW0NIMl0yKVtOSF1DKD1PKWMzYyhbQ0gzXSlub2MzLWM0W2NIXVtjSF1bY0hdW2NIXVtjSF00,OPLS_2005,Z1663835023-4,13_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_4,phasedb_3-LIGPREP-001-in.maegz,c1ccccc1-c2onc(C)c2C(=O)N[C@@H]3CC[N@@H+](C3)Cc4cc(OC)cc(c4)OC,Z1663835023-1,7_R_26_6_8_59,10_R_11_26_9_42,NULL,NULL,NULL,NULL,NULL
16,Z1652826107,10,1,1,0,0,0,57141,2,14,16,0,0,0,0,-0,64.09786000000001,0,16.800143,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMW5uKFtDSDJdW0NIXShbQ0gzXSlbQ0gzXSljKFtDSDNdKWMxUyg9TykoPU8pTihbQ0gyXVtDSDJdT1tDSDJdMilDMjNbQ0gyXVtDSDJdW0NIMl0z,OPLS_2005,Z1652826107-1,14_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,CC(C)Cn(n1)c(C)c(c1C)S(=O)(=O)N2CCOCC23CCC3,Z1652826107-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,Z1558390897,10,1,1,0,0,0,57141,2,15,17,0,0,0,0,-0,53.75303,0,22.265254,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,QnJjMVtjSF1bY0hdW2NIXVtjSF1jMVtDSDJdQyg9TylOMltDSDJdW0NIMl1PW0NIMl1bQ0BASF0yYzNuW2NIXW9uMw==,OPLS_2005,Z1558390897-2,15_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,c1cccc(Br)c1CC(=O)N2CCOC[C@H]2c3ncon3,Z1558390897-1,16_R_11_15_17_34,NULL,NULL,NULL,NULL,NULL,NULL
18,Z1587615900,10,1,1,0,0,0,57141,2,16,18,0,0.0013,0,0.0013,-0,25.73928,0,27.037102,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMVtjSF1bY0hdYyhzMSlbQ0gyXVtOSF1DKD1PKU4yW0NIMl1bQ0gyXVtDSDJdW0NAQEhdMmMzYyhbQ0gzXSluW25IXWMzW0NIM10=,OPLS_2005,Z1587615900-2,16_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,Cc(s1)ccc1CNC(=O)N2CCC[C@H]2c(c3C)c(C)[nH]n3,Z1587615900-1,14_S_10_15_13_38,NULL,NULL,NULL,NULL,NULL,NULL
19,Z1572208460,10,1,1,1,1,0,57141,2,17,19,0.32663955880816,0.1663,0.1633,0.0029,0.1633,521.3367499999999,0,65.15938,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIMl0xW05IXUMoPU8pTihbQ0BASF0xMilbQ0gyXVtDSDJdTihbQ0gyXTIpW0NIMl1jM1tjSF1bY0hdW2NIXVtjSF1jM09bQ0gyXWM0W2NIXVtjSF1bY0hdW2NIXW40,OPLS_2005,Z1572208460-1,17_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,C1NC(=O)N([C@@H]12)CC[N@@H+](C2)Cc3c(cccc3)OCc4ccccn4,Z1572208460-1,5_S_25_6_4_29,7_S_6_23_8_48,NULL,NULL,NULL,NULL,NULL
20,Z1572208460,10,1,1,0,0,0,57141,2,17,20,0.843272342673446,0.8463000000000001,0,0.8463000000000001,0.8433,40.80962,0,63.994058,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIMl0xW05IXUMoPU8pTihbQ0BASF0xMilbQ0gyXVtDSDJdTihbQ0gyXTIpW0NIMl1jM1tjSF1bY0hdW2NIXVtjSF1jM09bQ0gyXWM0W2NIXVtjSF1bY0hdW2NIXW40,OPLS_2005,Z1572208460-6,17_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,C1NC(=O)N([C@H]12)CCN(C2)Cc3c(cccc3)OCc4ccccn4,Z1572208460-2,5_R_25_6_4_29,NULL,NULL,NULL,NULL,NULL,NULL
21,Z1396476643,10,1,1,1,1,0,57141,2,18,21,0.402865911706242,0.06950000000000001,0.065,0.0045,0.3379,66.48227,0,29.793076,NULL,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W2NIXTFbY0hdW2NIXVtjSF1bY0hdYzFbQ0gyXU4oW0NIMl1bQ0BASF0yW0NIM10pW0NIMl1bQ0BASF0yW05IXVtDSDJdYzNbY0hdW2NIXVtjSF1jKFtjSF0zKVtDSDJdbjRbY0hdW2NIXVtjSF1uNA==,OPLS_2005,Z1396476643-1,18_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,n1cccn1Cc(ccc2)cc2C[NH2+][C@H]([C@H]3C)CN(C3)Cc4ccccc4,Z1396476643-1,2_S_13_3_1_31,13_R_14_12_2_43,NULL,NULL,NULL,NULL,NULL
22,Z1396476643,10,1,1,1,1,0,57141,2,18,22,0.574337352516931,0.0495,0.0226,0.0269,0.5517,52.31090999999999,0,32.780024,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W2NIXTFbY0hdW2NIXVtjSF1bY0hdYzFbQ0gyXU4oW0NIMl1bQ0BASF0yW0NIM10pW0NIMl1bQ0BASF0yW05IXVtDSDJdYzNbY0hdW2NIXVtjSF1jKFtjSF0zKVtDSDJdbjRbY0hdW2NIXVtjSF1uNA==,OPLS_2005,Z1396476643-6,18_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,n1cccn1Cc(ccc2)cc2CN[C@H]([C@@H]3C)C[N@H+](C3)Cc4ccccc4,Z1396476643-2,2_R_13_3_1_31,4_R_12_5_3_56,13_R_14_12_2_43,NULL,NULL,NULL,NULL
23,Z1626136433,10,1,1,0,0,0,57141,2,19,23,0.517859641010779,0.1138,0,0.1138,0.5179,192.56272,0,21.736161,0.5,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bQ0gyXVtOSF1DKD1PKVtOSF1jMVtjSF1bbkhdbmMxW0NASF0yW0NIMl1bQ0gyXVtDSDJdTihbQ0gyXTIpYyhuW2NIXW4zKWMoYzM0KVtjSF1jKFtDSDNdKVtjSF1bY0hdNA==,OPLS_2005,Z1626136433-1,19_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,CCNC(=O)Nc1c([nH]nc1)[C@H]2CCCN(C2)c3ncnc(c34)ccc(C)c4,Z1626136433-1,12_S_11_28_13_38,NULL,NULL,NULL,NULL,NULL,NULL
24,Z1626136433,10,1,1,0,0,0,57141,2,19,24,0.532880190514694,0.1238,0,0.1238,0.5329,129.55902,0,18.824564,0.5,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bQ0gyXVtOSF1DKD1PKVtOSF1jMVtjSF1bbkhdbmMxW0NASF0yW0NIMl1bQ0gyXVtDSDJdTihbQ0gyXTIpYyhuW2NIXW4zKWMoYzM0KVtjSF1jKFtDSDNdKVtjSF1bY0hdNA==,OPLS_2005,Z1626136433-4,19_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,CCNC(=O)Nc1c(n[nH]c1)[C@@H]2CCCN(C2)c3ncnc(c34)ccc(C)c4,Z1626136433-2,12_R_11_28_13_38,NULL,NULL,NULL,NULL,NULL,NULL
